Time	Species	State	Cell	Experiment	Dish	Plate	Well	Date
Gel15_Tube4_IMA_Exp_45	48	Human	IMA	E	45	4	15	3	20151201
Gel15_Tube7_SUN_Exp_45	48	Human	SUN	E	45	7	15	4	20151201
Gel15_Tube8_SUN_Exp_45	48	Human	SUN	E	45	8	15	5	20151201
Gel15_Tube10_BOS_Exp_45	48	Human	BOS	E	45	10	15	2	20151201
Gel_16_Tube2_CTRL_Exp_45	48	Human	CTRL	E	45	2	16	1	20151201
Gel_16_Tube11_VAN_Exp_45	48	Human	VAN	E	45	11	16	2	20151201
Gel_16_Tube12_LAP_Exp_45	48	Human	LAP	E	45	12	16	3	20151201
Gel_16_Tube15_TRS_Exp_45	48	Human	TRS	E	45	15	16	4	20151201
Gel_16_Tube18_SOR_Exp_45	48	Human	SOR	E	45	18	16	5	20151201
Gel_17_Tube1_CTRL_Exp_45	48	Human	CTRL	E	45	1	17	1	20151201
Gel_17_Tube20_REG_Exp_45	48	Human	REG	E	45	20	17	2	20151201
Gel_17_Tube21_PAZ_Exp_45	48	Human	PAZ	E	45	21	17	3	20151201
Gel_17_Tube23_NIL_Exp_45	48	Human	NIL	E	45	23	17	4	20151201
Gel_18_Tube1_CTRL_Exp_47	48	Human	CTRL	E	47	1	18	1	20151201
Gel_18_Tube4_SUN_Exp_47	48	Human	SUN	E	47	4	18	3	20151201
Gel_18_Tube6_LAP_Exp_47	48	Human	LAP	E	47	6	18	4	20151201
Gel_18_Tube8_TRS_Exp_47	48	Human	TRS	E	47	8	18	5	20151201
Gel_18_Tube10_SOR_Exp_47	48	Human	SOR	E	47	10	18	2	20151201
Gel_19_Tube2_CTRL_Exp_47	48	Human	CTRL	E	47	2	19	1	20151201
Gel_19_Tube17_RUX_Exp_47	48	Human	RUX	E	47	17	19	2	20151201
Gel_19_Tube18_AFA_Exp_47	48	Human	AFA	E	47	18	19	3	20151201
Gel_19_Tube19_AXI_Exp_47	48	Human	AXI	E	47	19	19	4	20151201
Gel_20_Tube1_CTRL_Exp_52	48	Human	CTRL	E	52	1	20	1	20151201
Gel_20_Tube2_CTRL_Exp_52	48	Human	CTRL	E	52	2	20	2	20151201
Gel_20_Tube4_SUN_Exp_52	48	Human	SUN	E	52	4	20	3	20151201
Gel_20_Tube8_SOR_Exp_52	48	Human	SOR	E	52	8	20	4	20151201
Gel_21_Tube3_TRS_Exp_55	48	Human	TRS	E	55	3	21	3	20151201
Gel_21_Tube10_Sun_Exp_55	48	Human	SUN	E	55	10	21	1	20151201
Gel_21_Tube20_SOR_Exp_55	48	Human	SOR	E	55	20	21	2	20151201
031616_Gel1_BOS_Tube_11	48	Human	BOS	A	20	11	1	2	20160308
031616_Gel1_Ctrl_Tube_1	48	Human	CTRL	A	20	1	1	1	20160308
031616_Gel1_ERL_Tube_5	48	Human	ERL	A	20	5	1	3	20160308
031616_Gel1_NIL_Tube_13	48	Human	NIL	A	20	13	1	4	20160308
031616_Gel1_USN_Tube_12	48	Human	VAN	A	20	12	1	5	20160308
031616_Gel2_Exp20_AFA_Tube_17	48	Human	AFA	A	20	17	2	2	20160308
031616_Gel2_Exp20_AXI_Tube_14_160504082926	48	Human	AXI	A	20	14	2	3	20160308
031616_Gel2_Exp20_Ctrl_Tube_1_160430071114	48	Human	CTRL	A	20	1	2	1	20160308
031616_Gel2_Exp20_PAZ_Tube_15	48	Human	PAZ	A	20	15	2	4	20160308
031616_Gel2_Exp20_RUX_Tube_16	48	Human	RUX	A	20	16	2	5	20160308
031616_Gel3_Exp22_BOS_Tube_14	48	Human	BOS	A	22	14	3	2	20160308
031616_Gel3_Exp22_CTRL_Tube_1	48	Human	CTRL	A	22	1	3	1	20160308
031616_Gel3_Exp22_ERL_Tube_5	48	Human	SUN+MON	A	22	6	3	3	20160308
031616_Gel3_Exp22_SOR_Tube_9	48	Human	SOR	A	22	9	3	4	20160308
031616_Gel3_Exp22_VAN_Tube_15	48	Human	VAN	A	22	15	3	5	20160308
031616_Gel4_RUX_Tube_19_160506041556	48	Human	RUX	A	22	19	4	5	20160308
031616_Gel4_AFA_Tube_20_160506081617	48	Human	AFA	A	22	20	4	1	20160308
031616_Gel4_AXI_Tube_17_160505201521	48	Human	AXI	A	22	17	4	2	20160308
031616_Gel4_NIL_Tube_16_160505161502	48	Human	NIL	A	22	16	4	3	20160308
